"","Rk","Name","Birth Date","Death Date","Age at Death","From","To","Pos","GP","G","A","PTS","+/-","PIM","GP","W","L","T/O","SV%","GAA"
"1","1","Joe Hall","1881-05-03","1919-04-05","37","1918","1919","D","37","15","9","24","","230","","","","","",""
"2","2","Hamby Shore","1886-02-12","1918-10-13","32","1918","1918","D/LW","18","3","8","11","","51","","","","","",""
"3","1","Jack Darragh","1890-12-04","1924-06-28","33","1918","1924","RW","121","68","49","117","","107","1","0","0","0","","0.00"
"4","1","Georges Vezina","1887-01-21","1926-03-27","39","1918","1926","G","190","0","1","1","","2","190","103","81","5","","3.28"
"5","1","George Horne","1904-06-27","1929-07-31","25","1926","1929","RW","54","9","3","12","","34","","","","","",""
"6","1","Frank Brophy","1900-08-09","1930-06-29","29","1920","1920","G","21","0","0","0","","0","21","3","18","0","","7.11"
"7","1","Bobby Boucher","1904-02-14","1931-06-09","27","1924","1924","C","11","1","0","1","","0","","","","","",""
"8","2","Bob Connors","1904-10-19","1931-07-27","26","1927","1930","LW/D","78","17","10","27","","108","","","","","",""
"9","1","Charlie Cotch","1900-02-21","1932-11-14","32","1925","1925","LW","12","1","0","1","","0","","","","","",""
"10","1","Charlie Gardiner","1904-12-31","1934-06-13","29","1928","1934","G","316","0","0","0","","2","316","112","151","52","","2.02"
"11","2","Jack Leswick","1910-01-01","1934-08-07","24","1934","1934","C","37","1","7","8","","16","","","","","",""
"12","3","Didier Pitre","1883-09-01","1934-07-29","50","1918","1923","RW/D","127","64","35","99","","87","","","","","",""
"13","4","Ken Thompson","1881-05-29","1933-11-25","52","1918","1918","LW/C","1","0","0","0","","0","","","","","",""
"14","1","Rodger Smith","1896-07-26","1935-01-31","38","1926","1931","D","210","20","4","24","","180","","","","","",""
"15","1","Earl Miller","1905-09-12","1936-06-20","30","1928","1932","LW","110","19","14","33","","130","","","","","",""
"16","2","Goldie Prodgers","1891-02-18","1935-10-25","44","1920","1925","F/D","111","63","33","96","","39","","","","","",""
"17","1","Alvin Fisher","1894-10-02","1937-03-01","42","1925","1925","RW","9","1","0","1","","9","","","","","",""
"18","2","Eddie Gerard","1890-02-22","1937-08-07","47","1918","1923","LW/D","128","50","51","101","","126","","","","","",""
"19","3","Howie Morenz","1902-09-21","1937-03-08","34","1924","1937","C","550","271","205","476","","560","","","","","",""
"20","4","Skene Ronan","1889-02-09","1937-06-25","48","1919","1919","D/C","11","0","0","0","","6","","","","","",""
"21","1","George Carroll","1897-06-03","1939-08-01","42","1925","1925","D","19","0","0","0","","9","","","","","",""
"22","2","Frank Heffernan","1892-01-12","1938-12-21","46","1920","1920","D","19","0","1","1","","10","","","","","",""
